ReplayID,Map Name,Length,Hero,Lvl,Result,Date and Time (UTC),Share Replay
159155947,Battlefield of Eternity,00:23:43,Blaze,17,0,10/23/2018 7:00:45 PM, 
159155942,Infernal Shrines,00:12:15,Kharazim,20,1,10/23/2018 6:11:04 PM, 
159155938,Alterac Pass,00:25:55,Li Li,20,1,10/23/2018 5:48:09 PM, 
159155933,Volskaya Foundry,00:29:10,Kharazim,20,0,10/23/2018 3:44:20 PM, 
159085357,Battlefield of Eternity,00:14:53,Artanis,20,1,10/23/2018 3:06:30 PM, 
159083574,Tomb of the Spider Queen,00:21:27,Nazeebo,20,0,10/23/2018 2:36:57 PM, 
159081984,Dragon Shire,00:27:08,Blaze,17,0,10/23/2018 2:07:39 PM, 
159037580,Alterac Pass,00:18:03,Tracer,20,1,10/22/2018 9:03:25 PM, 
159036053,Towers of Doom,00:17:48,Azmodan,17,0,10/22/2018 8:36:28 PM, 
159034322,Cursed Hollow,00:15:30,Anub'arak,20,0,10/22/2018 8:09:54 PM, 
159027907,Alterac Pass,00:19:46,Tracer,20,0,10/22/2018 6:28:19 PM, 
159026230,Infernal Shrines,00:17:53,Artanis,20,0,10/22/2018 5:59:47 PM, 
159025225,Tomb of the Spider Queen,00:20:06,Artanis,20,1,10/22/2018 5:33:29 PM, 
159023997,Cursed Hollow,00:20:57,Azmodan,17,0,10/22/2018 5:05:59 PM, 
159020533,Braxis Holdout,00:19:50,Anub'arak,20,0,10/22/2018 3:29:06 PM, 
158973166,Infernal Shrines,00:21:45,Tracer,20,1,10/21/2018 8:54:35 PM, 
158970791,Dragon Shire,00:19:47,Artanis,20,0,10/21/2018 8:20:32 PM, 
158819879,Braxis Holdout,00:20:18,Tracer,20,1,10/19/2018 8:42:45 PM, 
158818316,Tomb of the Spider Queen,00:19:51,Nazeebo,20,0,10/19/2018 8:06:10 PM, 
158816579,Alterac Pass,00:22:12,Whitemane,10,1,10/19/2018 7:38:10 PM, 
158811584,Cursed Hollow,00:24:29,Whitemane,10,1,10/19/2018 5:50:15 PM, 
158809616,Dragon Shire,00:14:14,Tracer,20,1,10/19/2018 5:15:42 PM, 
158802334,Volskaya Foundry,00:30:27,Li Li,20,1,10/19/2018 3:33:35 PM, 
158800080,Alterac Pass,00:22:37,Azmodan,17,1,10/19/2018 2:49:45 PM, 
158798056,Cursed Hollow,00:14:46,Samuro,20,1,10/19/2018 2:13:48 PM, 
158796808,Dragon Shire,00:24:30,Li Li,20,0,10/19/2018 3:32:58 AM, 
158771077,Braxis Holdout,00:25:20,Azmodan,17,0,10/19/2018 2:57:13 AM, 
158796799,Battlefield of Eternity,00:22:23,Azmodan,17,1,10/19/2018 2:21:12 AM, 
158754128,Dragon Shire,00:16:54,Anub'arak,20,0,10/18/2018 8:41:54 PM, 
158751949,Infernal Shrines,00:20:53,Azmodan,17,1,10/18/2018 8:10:53 PM, 
158749955,Towers of Doom,00:15:54,Nazeebo,20,0,10/18/2018 7:43:00 PM, 
158748253,Volskaya Foundry,00:20:39,Mal'Ganis,5,0,10/18/2018 7:16:33 PM, 
158740015,Dragon Shire,00:24:21,Artanis,20,0,10/18/2018 4:57:32 PM, 
158737191,Cursed Hollow,00:10:29,Diablo,20,1,10/18/2018 4:25:36 PM, 
158732479,Braxis Holdout,00:19:51,Nazeebo,20,1,10/18/2018 3:12:11 PM, 
158730568,Volskaya Foundry,00:27:14,Anub'arak,20,0,10/18/2018 2:43:38 PM, 
158728760,Sky Temple,00:14:58,Li Li,20,1,10/18/2018 2:05:42 PM, 
158728757,Infernal Shrines,00:37:46,Li Li,20,0,10/18/2018 1:54:45 AM, 
158728751,Tomb of the Spider Queen,00:27:46,Mal'Ganis,5,0,10/18/2018 12:54:31 AM, 
158728745,Dragon Shire,00:22:24,Artanis,20,0,10/17/2018 8:44:48 PM, 
158728736,Cursed Hollow,00:18:11,Samuro,20,0,10/17/2018 8:10:29 PM, 
157872113,Battlefield of Eternity,00:18:48,Blaze,16,1,10/5/2018 3:46:18 PM, 
157870714,Alterac Pass,00:19:20,Artanis,20,1,10/5/2018 3:16:32 PM, 
157869202,Sky Temple,00:22:07,Artanis,20,1,10/5/2018 2:43:38 PM, 
157819085,Towers of Doom,00:15:40,Blaze,16,1,10/4/2018 9:28:22 PM, 
157817717,Braxis Holdout,00:22:25,Li Li,20,1,10/4/2018 9:02:07 PM, 
157815139,Dragon Shire,00:25:25,Blaze,16,0,10/4/2018 8:14:08 PM, 
157812730,Infernal Shrines,00:19:36,Artanis,20,1,10/4/2018 7:37:36 PM, 
157809248,Sky Temple,00:21:28,Artanis,20,1,10/4/2018 6:31:54 PM, 
157807202,Tomb of the Spider Queen,00:16:39,Azmodan,17,1,10/4/2018 5:57:48 PM, 
157805423,Battlefield of Eternity,00:20:46,Azmodan,16,1,10/4/2018 5:32:41 PM, 
157795685,Volskaya Foundry,00:24:34,Li Li,20,1,10/4/2018 2:48:50 PM, 
157794171,Infernal Shrines,00:21:44,Blaze,16,1,10/4/2018 2:12:31 PM, 
157791504,Sky Temple,00:16:38,Blaze,16,1,10/4/2018 1:22:42 PM, 
157747656,Braxis Holdout,00:23:46,Blaze,16,0,10/3/2018 8:15:34 PM, 
157670319,Alterac Pass,00:23:15,Li Li,20,1,10/2/2018 6:44:23 PM, 
157657127,Dragon Shire,00:24:01,Li Li,20,0,10/2/2018 2:17:11 PM, 
157655871,Towers of Doom,00:21:49,Diablo,20,1,10/2/2018 1:44:37 PM, 
157604897,Tomb of the Spider Queen,00:09:11,Li Li,20,0,10/1/2018 7:24:00 PM, 
157600018,Sky Temple,00:15:10,Nazeebo,20,0,10/1/2018 5:49:08 PM, 
157598008,Alterac Pass,00:18:23,Azmodan,16,1,10/1/2018 5:20:45 PM, 
157596740,Towers of Doom,00:20:36,Anub'arak,20,1,10/1/2018 4:53:59 PM, 
157588187,Dragon Shire,00:17:36,Artanis,20,0,10/1/2018 2:53:29 PM, 
0,2018 Season 4, , , ,0,9/25/2018 12:00:00 AM, 
156713638,Tomb of the Spider Queen,00:18:49,Artanis,20,0,9/18/2018 7:55:26 PM, 
156712191,Sky Temple,00:16:44,Azmodan,16,0,9/18/2018 7:28:17 PM, 
156710977,Cursed Hollow,00:29:12,Artanis,20,0,9/18/2018 7:02:14 PM, 
156709675,Braxis Holdout,00:19:50,Blaze,16,1,9/18/2018 6:25:16 PM, 
156708114,Alterac Pass,00:13:47,Artanis,20,0,9/18/2018 5:54:50 PM, 
156655220,Volskaya Foundry,00:27:57,Artanis,20,0,9/17/2018 8:28:23 PM, 
156653553,Infernal Shrines,00:21:38,Blaze,16,1,9/17/2018 7:46:44 PM, 
156646423,Dragon Shire,00:29:16,Azmodan,16,0,9/17/2018 5:34:10 PM, 
156644811,Alterac Pass,00:19:57,Azmodan,16,0,9/17/2018 4:57:38 PM, 
156643806,Volskaya Foundry,00:18:20,Artanis,20,1,9/17/2018 4:28:06 PM, 
156643802,Infernal Shrines,00:26:09,Mephisto,7,0,9/17/2018 3:33:20 PM, 
156643798,Towers of Doom,00:16:31,Li Li,20,1,9/17/2018 2:55:05 PM, 
156636314,Tomb of the Spider Queen,00:23:36,Azmodan,16,0,9/17/2018 2:29:24 PM, 
